PERMNO,date,TICKER,PRC,VOL
84398,29/11/2018,SPY,273.98001,82346420
84398,30/11/2018,SPY,275.64999,98204190
84398,03/12/2018,SPY,279.29999,103017719
84398,04/12/2018,SPY,270.25000,177986013
84398,06/12/2018,SPY,269.84000,204185411
84398,07/12/2018,SPY,263.57001,161018923
84398,10/12/2018,SPY,264.07001,151445885
84398,11/12/2018,SPY,264.13000,121504431
84398,12/12/2018,SPY,265.45999,97976706
84398,13/12/2018,SPY,265.37000,96662717
84398,14/12/2018,SPY,260.47000,116961071
84398,17/12/2018,SPY,255.36000,165492257
84398,18/12/2018,SPY,255.08000,134515094
84398,19/12/2018,SPY,251.25999,214992763
84398,20/12/2018,SPY,247.17000,252053377
84398,21/12/2018,SPY,240.70000,255345633
84398,24/12/2018,SPY,234.34000,147311588
84398,26/12/2018,SPY,246.17999,218485360
84398,27/12/2018,SPY,248.07001,186267342
84398,28/12/2018,SPY,247.75000,153100189
84398,31/12/2018,SPY,249.92000,144299370
84398,02/01/2019,SPY,250.17999,126925199
84398,03/01/2019,SPY,244.21001,144140692
84398,04/01/2019,SPY,252.39000,142628834
84398,07/01/2019,SPY,254.38000,103139100
84398,08/01/2019,SPY,256.76999,102512587
84398,09/01/2019,SPY,257.97000,95006554
84398,10/01/2019,SPY,258.88000,96823923
84398,11/01/2019,SPY,258.98001,73858110
84398,14/01/2019,SPY,257.39999,70908227
84398,15/01/2019,SPY,260.35001,85208271
84398,16/01/2019,SPY,260.98001,77636710
84398,17/01/2019,SPY,262.95999,96118435
84398,18/01/2019,SPY,266.45999,127900303
84398,22/01/2019,SPY,262.85999,115531183
84398,23/01/2019,SPY,263.41000,86030287
84398,24/01/2019,SPY,263.54999,59204139
84398,25/01/2019,SPY,265.78000,96883358
84398,28/01/2019,SPY,263.76001,85613655
84398,29/01/2019,SPY,263.41000,66136334
84398,30/01/2019,SPY,267.57999,92473671
84398,31/01/2019,SPY,269.92999,104012073
84398,01/02/2019,SPY,270.06000,85782524
84398,04/02/2019,SPY,271.95999,60744844
84398,05/02/2019,SPY,273.10001,79552774
84398,06/02/2019,SPY,272.73999,58347791
84398,07/02/2019,SPY,270.14001,95481961
84398,08/02/2019,SPY,270.47000,75788861
84398,11/02/2019,SPY,270.62000,68021423
84398,12/02/2019,SPY,274.10001,72270221
84398,13/02/2019,SPY,274.98999,65277204
84398,14/02/2019,SPY,274.38000,83234396
84398,15/02/2019,SPY,277.37000,97088659
84398,19/02/2019,SPY,277.85001,59120804
84398,20/02/2019,SPY,278.41000,76610767
84398,21/02/2019,SPY,277.42001,64214727
84398,22/02/2019,SPY,279.14001,78114616
84398,25/02/2019,SPY,279.51999,69030699
84398,26/02/2019,SPY,279.32001,56844101
84398,27/02/2019,SPY,279.20001,56921570
84398,28/02/2019,SPY,278.67999,69268293
84398,01/03/2019,SPY,280.42001,78880548
84398,04/03/2019,SPY,279.39999,106494637
84398,05/03/2019,SPY,279.01999,59114559
84398,06/03/2019,SPY,277.32999,75039771
84398,07/03/2019,SPY,275.01001,94885089
84398,08/03/2019,SPY,274.45999,85795799
84398,11/03/2019,SPY,278.44000,65098897
84398,12/03/2019,SPY,279.48999,79667530
84398,13/03/2019,SPY,281.34000,80639153
84398,14/03/2019,SPY,281.16000,67518366
84398,15/03/2019,SPY,281.31000,81308979
84398,18/03/2019,SPY,282.32999,62199806
84398,19/03/2019,SPY,282.39999,90268121
84398,20/03/2019,SPY,281.54999,84609210
84398,21/03/2019,SPY,284.73001,79550375
84398,22/03/2019,SPY,279.25000,122659286
84398,25/03/2019,SPY,279.04001,85575197
84398,26/03/2019,SPY,281.12000,68125920
84398,27/03/2019,SPY,279.64999,72224722
84398,28/03/2019,SPY,280.70999,56238545
84398,29/03/2019,SPY,282.48001,82186806
84398,01/04/2019,SPY,285.82999,77617945
84398,02/04/2019,SPY,285.97000,40070351
84398,03/04/2019,SPY,286.42001,68243202
84398,04/04/2019,SPY,287.17999,48997505
84398,05/04/2019,SPY,288.57001,58621729
84398,08/04/2019,SPY,288.79001,53566335
84398,09/04/2019,SPY,287.31000,66142316
84398,10/04/2019,SPY,288.29001,52601499
84398,11/04/2019,SPY,288.20999,55093100
84398,12/04/2019,SPY,290.16000,69727782
84398,15/04/2019,SPY,289.97000,49596685
84398,16/04/2019,SPY,290.16000,52153197
84398,17/04/2019,SPY,289.45001,58268295
84398,18/04/2019,SPY,290.01999,68708513
84398,22/04/2019,SPY,290.26999,40160140
84398,23/04/2019,SPY,292.88000,52246633
84398,24/04/2019,SPY,292.23001,50392914
